,Notes,2024,2023,2022
,,$m,$m,$m
Product Sales,1,"50,938","43,789","42,998"
Alliance Revenue,1,"2,212","1,428",755
Collaboration Revenue,1,923,594,598
Total Revenue,,"54,073","45,811","44,351"
Cost of sales,,"(10,207)","(8,268)","(12,391)"
Gross profit,,"43,866","37,543","31,960"
Distribution expense,,(555),(539),(536)
Research and development expense,2,"(13,583)","(10,935)","(9,762)"
"Selling, general and administrative expense",2,"(19,977)","(19,216)","(18,419)"
Other operating income and expense,2,252,"1,340",514
Operating profit,,"10,003","8,193","3,757"
Finance income,3,458,344,95
Finance expense,3,"(1,742)","(1,626)","(1,346)"
Share of after tax losses in associates and joint ventures,11,(28),(12),(5)
Profit before tax,,"8,691","6,899","2,501"
Taxation,4,"(1,650)",(938),792
Profit for the period,,"7,041","5,961","3,293"
Other comprehensive income:,,,,
Items that will not be reclassified to profit and loss:,,,,
Remeasurement of the defined benefit pension liability,22,80,(406),"1,118"
Net gains/(losses) on equity investments measured at fair value through Other comprehensive income,,139,278,(88)
Fair value movements related to own credit risk on bonds designated as fair value through profit or loss,,12,(6),2
Tax on items that will not be reclassified to profit and loss,4,(43),101,(216)
,,188,(33),816
Items that may be reclassified subsequently to profit and loss: Foreign exchange arising on consolidation,23,(957),608,"(1,446)"
Foreign exchange arising on designated liabilities in net investment hedges,23,(122),24,(282)
Fair value movements on cash flow hedges,,(129),266,(97)
Fair value movements on cash flow hedges transferred to profit and loss,,177,(145),73
Fair value movements on derivatives designated in net investment hedges,23,39,44,(8)
Costs of hedging,,(21),(19),(7)
Tax on items that may be reclassified subsequently to profit and loss,4,25,(12),73
,,(988),766,"(1,694)"
"Other comprehensive (expense)/income for the period, net of tax",,(800),733,(878)
Total comprehensive income for the period,,"6,241","6,694","2,415"
Profit attributable to:,,,,
Owners of the Parent,,"7,035","5,955","3,288"
Non-controlling interests,26,6,6,5
Total comprehensive income attributable to:,,,,
Owners of the Parent,,"6,236","6,688","2,413"
Non-controlling interests,26,5,6,2
,,,,
Basic earnings per $0.25 Ordinary Share,5,$4.54,$3.84,$2.12
Diluted earnings per $0.25 Ordinary Share,5,$4.50,$3.81,$2.11
Weighted average number of Ordinary Shares in issue (millions),5,"1,550","1,549","1,548"
Diluted weighted average number of Ordinary Shares in issue (millions),5,"1,563","1,562","1,560"
,,,,
Dividends declared and paid in the period,25,"4,602","4,487","4,485"
