,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,3926000000.0,3916000000.0,3903000000.0,3851000000.0,
Ordinary Shares Number,5666990035.0,5646000000.0,5616000000.0,5620000000.0,
Share Issued,9592990035.0,9562000000.0,9519000000.0,9471000000.0,
Net Debt,62606000000.0,67992000000.0,34443000000.0,35054000000.0,
Total Debt,63649000000.0,70845000000.0,34859000000.0,36998000000.0,
Tangible Book Value,-35736000000.0,-43669000000.0,916000000.0,2847000000.0,
Invested Capital,151852000000.0,159859000000.0,130520000000.0,114199000000.0,
Working Capital,7363000000.0,-4461000000.0,9121000000.0,17022000000.0,
Net Tangible Assets,-35736000000.0,-43669000000.0,916000000.0,2847000000.0,
Common Stock Equity,88203000000.0,89014000000.0,95661000000.0,77201000000.0,
Total Capitalization,144906000000.0,149513000000.0,127586000000.0,111958000000.0,
Total Equity Gross Minority Interest,88497000000.0,89288000000.0,95916000000.0,77462000000.0,
Minority Interest,294000000.0,274000000.0,256000000.0,262000000.0,
Stockholders Equity,88203000000.0,89014000000.0,95661000000.0,77201000000.0,
Other Equity Interest,,,,1000000.0,
Gains Losses Not Affecting Retained Earnings,-7842000000.0,-7961000000.0,-8304000000.0,-5896000000.0,
Other Equity Adjustments,57000000.0,-217000000.0,-412000000.0,119000000.0,
Foreign Currency Translation Adjustments,-7984000000.0,-7863000000.0,-8360000000.0,-6172000000.0,
Minimum Pension Liabilities,191000000.0,128000000.0,248000000.0,377000000.0,
Unrealized Gain Loss,-106000000.0,-9000000.0,220000000.0,-220000000.0,
Treasury Stock,114763000000.0,114487000000.0,113969000000.0,111361000000.0,
Retained Earnings,116725000000.0,118353000000.0,125656000000.0,103394000000.0,
Additional Paid In Capital,93603000000.0,92631000000.0,91802000000.0,90591000000.0,
Capital Stock,480000000.0,478000000.0,476000000.0,473000000.0,
Common Stock,480000000.0,478000000.0,476000000.0,473000000.0,
Preferred Stock,,0.0,0.0,0.0,0.0
Total Liabilities Net Minority Interest,124899000000.0,137213000000.0,101289000000.0,104014000000.0,
Total Non Current Liabilities Net Minority Interest,81904000000.0,89419000000.0,59151000000.0,61343000000.0,
Other Non Current Liabilities,14151000000.0,16540000000.0,13182000000.0,9744000000.0,
Derivative Product Liabilities,701000000.0,1039000000.0,959000000.0,1438000000.0,
Employee Benefits,2115000000.0,2167000000.0,2250000000.0,3724000000.0,
Non Current Pension And Other Postretirement Benefit Plans,2115000000.0,2167000000.0,2250000000.0,3724000000.0,
Tradeand Other Payables Non Current,6112000000.0,8534000000.0,9812000000.0,11331000000.0,
Non Current Deferred Liabilities,2122000000.0,640000000.0,1023000000.0,349000000.0,
Non Current Deferred Taxes Liabilities,2122000000.0,640000000.0,1023000000.0,349000000.0,
Long Term Debt And Capital Lease Obligation,56703000000.0,60499000000.0,31925000000.0,34757000000.0,
Long Term Debt,56703000000.0,60499000000.0,31925000000.0,34757000000.0,
Current Liabilities,42995000000.0,47794000000.0,42138000000.0,42671000000.0,
Other Current Liabilities,19720000000.0,20541000000.0,22578000000.0,24938000000.0,
Current Deferred Liabilities,1511000000.0,2700000000.0,2520000000.0,3067000000.0,
Current Deferred Revenue,1511000000.0,2700000000.0,2520000000.0,3067000000.0,
Current Debt And Capital Lease Obligation,6946000000.0,10346000000.0,2934000000.0,2241000000.0,
Current Debt,6946000000.0,10346000000.0,2934000000.0,2241000000.0,
Other Current Borrowings,4493000000.0,2381000000.0,2934000000.0,2241000000.0,
Commercial Paper,2453000000.0,7965000000.0,0.0,0.0,
Pensionand Other Post Retirement Benefit Plans Current,3838000000.0,2776000000.0,3407000000.0,3332000000.0,
Payables And Accrued Expenses,10980000000.0,11431000000.0,10699000000.0,9093000000.0,
Payables,10980000000.0,11431000000.0,10699000000.0,9093000000.0,
Dividends Payable,2437000000.0,2372000000.0,2303000000.0,2249000000.0,
Total Tax Payable,2910000000.0,2349000000.0,1587000000.0,1266000000.0,
Income Tax Payable,2910000000.0,2349000000.0,1587000000.0,1266000000.0,
Accounts Payable,5633000000.0,6710000000.0,6809000000.0,5578000000.0,
Total Assets,213396000000.0,226501000000.0,197205000000.0,181476000000.0,
Total Non Current Assets,163038000000.0,183168000000.0,145944000000.0,121782000000.0,
Other Non Current Assets,9817000000.0,12471000000.0,13163000000.0,7679000000.0,
Non Current Deferred Assets,8662000000.0,3706000000.0,6693000000.0,3341000000.0,
Non Current Deferred Taxes Assets,8662000000.0,3706000000.0,6693000000.0,3341000000.0,
Investments And Advances,2227000000.0,15368000000.0,15069000000.0,21526000000.0,
Other Investments,,,,5054000000.0,3406000000.0
Investmentin Financial Assets,2010000000.0,3731000000.0,4036000000.0,5054000000.0,
Held To Maturity Securities,45000000.0,47000000.0,48000000.0,34000000.0,
Available For Sale Securities,1965000000.0,3684000000.0,3988000000.0,5020000000.0,
Long Term Equity Investment,217000000.0,11637000000.0,11033000000.0,16472000000.0,
Goodwill And Other Intangible Assets,123939000000.0,132683000000.0,94745000000.0,74354000000.0,
Other Intangible Assets,55412000000.0,64900000000.0,43370000000.0,25146000000.0,
Goodwill,68527000000.0,67783000000.0,51375000000.0,49208000000.0,
Net PPE,18393000000.0,18940000000.0,16274000000.0,14882000000.0,
Accumulated Depreciation,-16483000000.0,-16045000000.0,-15174000000.0,-15074000000.0,
Gross PPE,34876000000.0,34985000000.0,31448000000.0,29956000000.0,
Construction In Progress,4937000000.0,5925000000.0,4875000000.0,3822000000.0,
Other Properties,1000000.0,-1000000.0,1000000.0,,-1000000.0
Machinery Furniture Equipment,20611000000.0,19662000000.0,17372000000.0,16709000000.0,
Buildings And Improvements,9036000000.0,9046000000.0,8832000000.0,9001000000.0,
Land And Improvements,291000000.0,353000000.0,368000000.0,423000000.0,
Properties,0.0,0.0,0.0,0.0,
Current Assets,50358000000.0,43333000000.0,51259000000.0,59693000000.0,
