,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30
Treasury Shares Number,3926000000.0,3926000000.0,3925000000.0,3925000000.0,3916000000.0,,
Ordinary Shares Number,5666990035.0,5666000000.0,5666592898.0,5667000000.0,5646000000.0,,
Share Issued,9592990035.0,9592000000.0,9591592898.0,9592000000.0,9562000000.0,,
Net Debt,62606000000.0,65525000000.0,67625000000.0,67989000000.0,67992000000.0,,
Total Debt,63649000000.0,66617000000.0,68677000000.0,68708000000.0,70845000000.0,,
Tangible Book Value,-35736000000.0,-36270000000.0,-41985000000.0,-39843000000.0,-43669000000.0,,
Invested Capital,151852000000.0,158903000000.0,156377000000.0,160990000000.0,159859000000.0,,
Working Capital,7363000000.0,12000000.0,-5994000000.0,1918000000.0,-4461000000.0,,
Net Tangible Assets,-35736000000.0,-36270000000.0,-41985000000.0,-39843000000.0,-43669000000.0,,
Common Stock Equity,88203000000.0,92286000000.0,87700000000.0,92282000000.0,89014000000.0,,
Total Capitalization,144906000000.0,149204000000.0,144433000000.0,152759000000.0,149513000000.0,,
Total Equity Gross Minority Interest,88497000000.0,92558000000.0,87975000000.0,92558000000.0,89288000000.0,,
Minority Interest,294000000.0,272000000.0,275000000.0,276000000.0,274000000.0,,
Stockholders Equity,88203000000.0,92286000000.0,87700000000.0,92282000000.0,89014000000.0,,
Other Equity Interest,,1000000.0,,,,1000000.0,
Gains Losses Not Affecting Retained Earnings,-7842000000.0,-7971000000.0,-7816000000.0,-7758000000.0,-7961000000.0,,
Other Equity Adjustments,57000000.0,-447000000.0,-77000000.0,-53000000.0,-217000000.0,,
Foreign Currency Translation Adjustments,-7984000000.0,-7631000000.0,-7822000000.0,-7743000000.0,-7863000000.0,,
Minimum Pension Liabilities,191000000.0,61000000.0,84000000.0,104000000.0,128000000.0,,
Unrealized Gain Loss,-106000000.0,46000000.0,-1000000.0,-66000000.0,-9000000.0,,
Treasury Stock,114763000000.0,114760000000.0,114757000000.0,114755000000.0,114487000000.0,,
Retained Earnings,116725000000.0,121059000000.0,116596000000.0,121318000000.0,118353000000.0,,
Additional Paid In Capital,93603000000.0,93477000000.0,93197000000.0,92997000000.0,92631000000.0,,
Capital Stock,480000000.0,480000000.0,480000000.0,480000000.0,478000000.0,,
Common Stock,480000000.0,480000000.0,480000000.0,480000000.0,478000000.0,,
Preferred Stock,,,,,0.0,,
Total Liabilities Net Minority Interest,124899000000.0,126918000000.0,128218000000.0,128537000000.0,137213000000.0,,
Total Non Current Liabilities Net Minority Interest,81904000000.0,83707000000.0,84399000000.0,88040000000.0,89419000000.0,,
Other Non Current Liabilities,14151000000.0,15570000000.0,16094000000.0,15123000000.0,16540000000.0,,
Derivative Product Liabilities,701000000.0,1083000000.0,773000000.0,830000000.0,1039000000.0,,
Employee Benefits,2115000000.0,2073000000.0,2040000000.0,2076000000.0,2167000000.0,,
Non Current Pension And Other Postretirement Benefit Plans,2115000000.0,2073000000.0,2040000000.0,2076000000.0,2167000000.0,,
Tradeand Other Payables Non Current,6112000000.0,5905000000.0,6532000000.0,8603000000.0,8534000000.0,,
Non Current Deferred Liabilities,2122000000.0,2158000000.0,2227000000.0,931000000.0,640000000.0,,
Non Current Deferred Taxes Liabilities,2122000000.0,2158000000.0,2227000000.0,931000000.0,640000000.0,,
Long Term Debt And Capital Lease Obligation,56703000000.0,56918000000.0,56733000000.0,60477000000.0,60499000000.0,,
Long Term Debt,56703000000.0,56918000000.0,56733000000.0,60477000000.0,60499000000.0,,
Current Liabilities,42995000000.0,43211000000.0,43819000000.0,40497000000.0,47794000000.0,,
Other Current Liabilities,19720000000.0,19918000000.0,16411000000.0,18789000000.0,20541000000.0,,
Current Deferred Liabilities,1511000000.0,2020000000.0,2528000000.0,2502000000.0,2700000000.0,,
Current Deferred Revenue,1511000000.0,2020000000.0,2528000000.0,2502000000.0,2700000000.0,,
Current Debt And Capital Lease Obligation,6946000000.0,9699000000.0,11944000000.0,8231000000.0,10346000000.0,,
Current Debt,6946000000.0,9699000000.0,11944000000.0,8231000000.0,10346000000.0,,
Other Current Borrowings,4493000000.0,3858000000.0,3980000000.0,1298000000.0,2381000000.0,,
Commercial Paper,2453000000.0,5841000000.0,7964000000.0,6933000000.0,7965000000.0,,
Pensionand Other Post Retirement Benefit Plans Current,3838000000.0,3383000000.0,2566000000.0,2192000000.0,2776000000.0,,
Payables And Accrued Expenses,10980000000.0,8191000000.0,10370000000.0,8783000000.0,11431000000.0,,
Payables,10980000000.0,8191000000.0,10370000000.0,8783000000.0,11431000000.0,,
Dividends Payable,2437000000.0,0.0,2380000000.0,0.0,2372000000.0,,
Total Tax Payable,2910000000.0,2877000000.0,2884000000.0,3192000000.0,2349000000.0,,
Income Tax Payable,2910000000.0,2877000000.0,2884000000.0,3192000000.0,2349000000.0,,
Accounts Payable,5633000000.0,5314000000.0,5106000000.0,5591000000.0,6710000000.0,,
Total Assets,213396000000.0,219476000000.0,216193000000.0,221095000000.0,226501000000.0,,
Total Non Current Assets,163038000000.0,176254000000.0,178367000000.0,178680000000.0,183168000000.0,,
Other Non Current Assets,9817000000.0,10486000000.0,10710000000.0,11197000000.0,12471000000.0,,
Non Current Deferred Assets,8662000000.0,7909000000.0,7867000000.0,4942000000.0,3706000000.0,,
Non Current Deferred Taxes Assets,8662000000.0,7909000000.0,7867000000.0,4942000000.0,3706000000.0,,
Investments And Advances,2227000000.0,10762000000.0,11148000000.0,11613000000.0,15368000000.0,,
Investmentin Financial Assets,2010000000.0,2180000000.0,3119000000.0,3490000000.0,3731000000.0,,
Held To Maturity Securities,45000000.0,47000000.0,54000000.0,45000000.0,47000000.0,,
Available For Sale Securities,1965000000.0,2133000000.0,3065000000.0,3445000000.0,3684000000.0,,
Long Term Equity Investment,217000000.0,8582000000.0,8029000000.0,8123000000.0,11637000000.0,,
Goodwill And Other Intangible Assets,123939000000.0,128556000000.0,129685000000.0,132125000000.0,132683000000.0,,
Other Intangible Assets,55412000000.0,59986000000.0,61240000000.0,62828000000.0,64900000000.0,,
Goodwill,68527000000.0,68570000000.0,68445000000.0,69297000000.0,67783000000.0,,
Net PPE,18393000000.0,18541000000.0,18957000000.0,18803000000.0,18940000000.0,,
Accumulated Depreciation,-16483000000.0,-16675000000.0,-16572000000.0,-16362000000.0,-16045000000.0,,
Gross PPE,34876000000.0,35216000000.0,35529000000.0,35165000000.0,34985000000.0,,
Construction In Progress,4937000000.0,,,,5925000000.0,,
