,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,9835000000.0,4793000000.0,26031000000.0,29869000000.0,
Repurchase Of Capital Stock,0.0,0.0,-2000000000.0,0.0,
Repayment Of Debt,-16066000000.0,-2572000000.0,-7407000000.0,-2100000000.0,
Issuance Of Debt,8907000000.0,38517000000.0,3891000000.0,997000000.0,
Capital Expenditure,-2909000000.0,-3907000000.0,-3236000000.0,-2711000000.0,
Interest Paid Supplemental Data,3227000000.0,2215000000.0,1442000000.0,1467000000.0,
Income Tax Paid Supplemental Data,3605000000.0,3147000000.0,7867000000.0,7427000000.0,
End Cash Position,1107000000.0,2917000000.0,468000000.0,1983000000.0,
Beginning Cash Position,2917000000.0,468000000.0,1983000000.0,1825000000.0,
Effect Of Exchange Rate Changes,-66000000.0,-40000000.0,-165000000.0,-59000000.0,
Changes In Cash,-1744000000.0,2489000000.0,-1350000000.0,217000000.0,
Financing Cash Flow,-17140000000.0,26066000000.0,-14834000000.0,-9816000000.0,
Cash From Discontinued Financing Activities,,,0.0,0.0,11991000000.0
Cash Flow From Continuing Financing Activities,-17140000000.0,26067000000.0,-14834000000.0,-9816000000.0,
Net Other Financing Charges,-469000000.0,-632000000.0,-335000000.0,16000000.0,
Proceeds From Stock Option Exercised,,,,,425000000.0
Cash Dividends Paid,-9512000000.0,-9247000000.0,-8983000000.0,-8729000000.0,
Common Stock Dividend Paid,,,,-8729000000.0,-8440000000.0
Net Common Stock Issuance,0.0,0.0,-2000000000.0,0.0,
Common Stock Payments,0.0,0.0,-2000000000.0,0.0,
Net Issuance Payments Of Debt,-7159000000.0,35945000000.0,-3516000000.0,-1103000000.0,
Net Short Term Debt Issuance,-4909000000.0,7683000000.0,-218000000.0,-96000000.0,
Short Term Debt Payments,-13816000000.0,-3000000.0,-4109000000.0,-96000000.0,
Short Term Debt Issuance,8907000000.0,7686000000.0,3891000000.0,0.0,
Net Long Term Debt Issuance,-2250000000.0,28262000000.0,-3298000000.0,-1007000000.0,
Long Term Debt Payments,-2250000000.0,-2569000000.0,-3298000000.0,-2004000000.0,
Long Term Debt Issuance,0.0,30831000000.0,0.0,997000000.0,
Investing Cash Flow,2652000000.0,-32278000000.0,-15783000000.0,-22546000000.0,
Cash From Discontinued Investing Activities,,0.0,0.0,-12000000.0,-109000000.0
Cash Flow From Continuing Investing Activities,2654000000.0,-32277000000.0,-15783000000.0,-22533000000.0,
Net Other Investing Changes,,-180000000.0,-192000000.0,-306000000.0,-264000000.0
Dividends Received Cfi,0.0,0.0,3960000000.0,0.0,
Net Investment Purchase And Sale,-1479000000.0,15239000000.0,6682000000.0,-19517000000.0,
Sale Of Investment,8834000000.0,46417000000.0,45462000000.0,28096000000.0,
Purchase Of Investment,-10313000000.0,-31178000000.0,-38780000000.0,-47613000000.0,
Net Business Purchase And Sale,7040000000.0,-43430000000.0,-22997000000.0,0.0,
Sale Of Business,7040000000.0,0.0,0.0,,
Purchase Of Business,0.0,-43430000000.0,-22997000000.0,0.0,
Net Intangibles Purchase And Sale,,,,,-539000000.0
Purchase Of Intangibles,,,,,-539000000.0
Net PPE Purchase And Sale,-2909000000.0,-3907000000.0,-3236000000.0,-2711000000.0,
Purchase Of PPE,-2909000000.0,-3907000000.0,-3236000000.0,-2711000000.0,
Operating Cash Flow,12744000000.0,8700000000.0,29267000000.0,32580000000.0,
Cash From Discontinued Operating Activities,,0.0,0.0,-343000000.0,3817000000.0
Cash Flow From Continuing Operating Activities,12743000000.0,8701000000.0,29267000000.0,32923000000.0,
Change In Working Capital,-3066000000.0,-2172000000.0,-5639000000.0,12804000000.0,
Change In Other Working Capital,-1345000000.0,-982000000.0,-545000000.0,-1166000000.0,
Change In Other Current Liabilities,-3115000000.0,595000000.0,-1449000000.0,18721000000.0,
Change In Other Current Assets,3380000000.0,-663000000.0,-4506000000.0,-1057000000.0,
Change In Payables And Accrued Expense,-1023000000.0,-300000000.0,1191000000.0,1242000000.0,
Change In Payable,-1023000000.0,-300000000.0,1191000000.0,1242000000.0,
Change In Account Payable,-1023000000.0,-300000000.0,1191000000.0,1242000000.0,
Change In Inventory,-854000000.0,-1169000000.0,-591000000.0,-1125000000.0,
Change In Receivables,-109000000.0,347000000.0,261000000.0,-3811000000.0,
Changes In Account Receivables,-109000000.0,347000000.0,261000000.0,-3811000000.0,
Other Non Cash Items,-2271000000.0,-4280000000.0,-400000000.0,-4696000000.0,
Stock Based Compensation,877000000.0,525000000.0,872000000.0,1182000000.0,
Asset Impairment Charge,4242000000.0,9607000000.0,1733000000.0,276000000.0,
Deferred Tax,-2102000000.0,-3442000000.0,-3764000000.0,-4293000000.0,
Deferred Income Tax,-2102000000.0,-3442000000.0,-3764000000.0,-4293000000.0,
Depreciation Amortization Depletion,7013000000.0,6290000000.0,5064000000.0,5191000000.0,
Depreciation And Amortization,7013000000.0,6290000000.0,5064000000.0,5191000000.0,
Operating Gains Losses,,,,,-6000000.0
Pension And Employee Benefit Expense,,,,,-1790000000.0
Earnings Losses From Equity Investments,,,,0.0,-6000000.0
Net Income From Continuing Operations,8051000000.0,2172000000.0,31401000000.0,22459000000.0,
