,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30
Free Cash Flow,5804000000.0,6063000000.0,-2418000000.0,386000000.0,4196000000.0,,
Repurchase Of Capital Stock,,,,,0.0,0.0,0.0
Repayment Of Debt,-3452000000.0,-4411000000.0,-4586000000.0,-3617000000.0,103000000.0,,
Issuance Of Debt,732000000.0,2161000000.0,4570000000.0,1444000000.0,7672000000.0,,
Capital Expenditure,-917000000.0,-651000000.0,-637000000.0,-704000000.0,-1044000000.0,,
Interest Paid Supplemental Data,1394000000.0,280000000.0,1138000000.0,415000000.0,1062000000.0,,
Income Tax Paid Supplemental Data,433000000.0,486000000.0,2502000000.0,184000000.0,240000000.0,,
End Cash Position,1107000000.0,1152000000.0,1123000000.0,780000000.0,2917000000.0,,
Beginning Cash Position,1152000000.0,1123000000.0,780000000.0,2917000000.0,3233000000.0,,
Effect Of Exchange Rate Changes,-29000000.0,9000000.0,-18000000.0,-28000000.0,-1000000.0,,
Changes In Cash,-16000000.0,20000000.0,361000000.0,-2109000000.0,-315000000.0,,
Financing Cash Flow,-5114000000.0,-4636000000.0,-2459000000.0,-4931000000.0,5442000000.0,,
Cash Flow From Continuing Financing Activities,-5114000000.0,-4636000000.0,-2459000000.0,-4931000000.0,5442000000.0,,
Net Other Financing Charges,-14000000.0,-6000000.0,-63000000.0,-386000000.0,-18000000.0,,
Cash Dividends Paid,-2380000000.0,-2380000000.0,-2380000000.0,-2372000000.0,-2315000000.0,,
Common Stock Dividend Paid,,-2380000000.0,,,,-2314000000.0,
Net Common Stock Issuance,,,,,0.0,0.0,0.0
Common Stock Payments,,,,,0.0,0.0,0.0
Net Issuance Payments Of Debt,-2720000000.0,-2250000000.0,-16000000.0,-2173000000.0,7775000000.0,,
Net Short Term Debt Issuance,-2720000000.0,-2250000000.0,984000000.0,-923000000.0,7775000000.0,,
Short Term Debt Payments,-3452000000.0,-4411000000.0,-3586000000.0,-2367000000.0,103000000.0,,
Short Term Debt Issuance,732000000.0,2161000000.0,4570000000.0,1444000000.0,7672000000.0,,
Net Long Term Debt Issuance,0.0,0.0,-1000000000.0,-1250000000.0,0.0,,
Long Term Debt Payments,0.0,0.0,-1000000000.0,-1250000000.0,0.0,,
Long Term Debt Issuance,0.0,0.0,,,0.0,0.0,
Investing Cash Flow,-1623000000.0,-2057000000.0,4600000000.0,1732000000.0,-10996000000.0,,
Cash Flow From Continuing Investing Activities,-1620000000.0,-2058000000.0,4601000000.0,1731000000.0,-10997000000.0,,
Net Other Investing Changes,,6000000.0,-19000000.0,1000000.0,15000000.0,348000000.0,
Dividends Received Cfi,,,,,0.0,,
Net Investment Purchase And Sale,-4267000000.0,-1412000000.0,5256000000.0,-1056000000.0,33438000000.0,,
Sale Of Investment,2014000000.0,1258000000.0,4599000000.0,963000000.0,28210000000.0,,
Purchase Of Investment,-6281000000.0,-2670000000.0,657000000.0,-2019000000.0,5228000000.0,,
Net Business Purchase And Sale,3549000000.0,0.0,0.0,3491000000.0,-43405000000.0,,
Sale Of Business,3549000000.0,0.0,0.0,3491000000.0,,0.0,
Purchase Of Business,0.0,0.0,,,-43405000000.0,0.0,-25000000.0
Net PPE Purchase And Sale,-917000000.0,-651000000.0,-637000000.0,-704000000.0,-1044000000.0,,
Purchase Of PPE,-917000000.0,-651000000.0,-637000000.0,-704000000.0,-1044000000.0,,
Operating Cash Flow,6721000000.0,6714000000.0,-1781000000.0,1090000000.0,5240000000.0,,
Cash Flow From Continuing Operating Activities,6720000000.0,6713000000.0,-1781000000.0,1091000000.0,5241000000.0,,
Change In Working Capital,2926000000.0,879000000.0,-3535000000.0,-3336000000.0,8450000000.0,,
Other Non Cash Items,-1350000000.0,-842000000.0,274000000.0,-353000000.0,-3069000000.0,,
Stock Based Compensation,177000000.0,274000000.0,206000000.0,220000000.0,121000000.0,,
Asset Impairment Charge,3162000000.0,649000000.0,295000000.0,136000000.0,3261000000.0,,
Deferred Tax,-396000000.0,-482000000.0,-783000000.0,-441000000.0,-1858000000.0,,
Deferred Income Tax,-396000000.0,-482000000.0,-783000000.0,-441000000.0,-1858000000.0,,
Depreciation Amortization Depletion,1791000000.0,1755000000.0,1731000000.0,1736000000.0,1670000000.0,,
Depreciation And Amortization,1791000000.0,1755000000.0,1731000000.0,1736000000.0,1670000000.0,,
Net Income From Continuing Operations,411000000.0,4481000000.0,31000000.0,3128000000.0,-3335000000.0,,
