,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-1121190000.0,-1027110000.0,-390048000.0,-212724000.0,
Tax Rate For Calcs,0.21,0.21,0.096,0.076,
Normalized EBITDA,23466000000.0,14448000000.0,45094000000.0,33592000000.0,
Total Unusual Items,-5339000000.0,-4891000000.0,-4063000000.0,-2799000000.0,
Total Unusual Items Excluding Goodwill,-5339000000.0,-4891000000.0,-4063000000.0,-2799000000.0,
Net Income From Continuing Operation Net Minority Interest,8020000000.0,2134000000.0,31366000000.0,22413000000.0,
Reconciled Depreciation,7013000000.0,6290000000.0,5064000000.0,5191000000.0,
Reconciled Cost Of Revenue,16124000000.0,23397000000.0,32889000000.0,29330000000.0,
EBITDA,18127000000.0,9557000000.0,41031000000.0,30793000000.0,
EBIT,11114000000.0,3267000000.0,35967000000.0,25602000000.0,
Net Interest Income,-2546000000.0,-585000000.0,-987000000.0,-1255000000.0,
Interest Expense,3091000000.0,2209000000.0,1238000000.0,1291000000.0,
Interest Income,545000000.0,1624000000.0,251000000.0,36000000.0,
Normalized Income,12237810000.0,5997890000.0,35038952000.0,24999276000.0,
Net Income From Continuing And Discontinued Operation,8031000000.0,2119000000.0,31372000000.0,21979000000.0,
Total Expenses,48689000000.0,55137000000.0,63058000000.0,57584000000.0,
Diluted Average Shares,,5709000000.0,5733000000.0,5708000000.0,5632000000.0
Basic Average Shares,,5643000000.0,5608000000.0,5601000000.0,5555000000.0
Diluted EPS,,0.37,5.47,3.85,1.71
Basic EPS,,0.38,5.59,3.92,1.73
Diluted NI Availto Com Stockholders,8031000000.0,2119000000.0,31372000000.0,21979000000.0,
Net Income Common Stockholders,8031000000.0,2119000000.0,31372000000.0,21979000000.0,
Net Income,8031000000.0,2119000000.0,31372000000.0,21979000000.0,
Minority Interests,-31000000.0,-39000000.0,-35000000.0,-45000000.0,
Net Income Including Noncontrolling Interests,8062000000.0,2158000000.0,31407000000.0,22025000000.0,
Net Income Discontinuous Operations,11000000.0,-15000000.0,6000000.0,-434000000.0,
Net Income Continuous Operations,8051000000.0,2172000000.0,31401000000.0,22459000000.0,
Tax Provision,-28000000.0,-1115000000.0,3328000000.0,1852000000.0,
Pretax Income,8023000000.0,1058000000.0,34729000000.0,24311000000.0,
Other Income Expense,-4369000000.0,-2774000000.0,-2400000000.0,1763000000.0,
Other Non Operating Income Expenses,868000000.0,1612000000.0,1227000000.0,4091000000.0,
Special Income Charges,-6347000000.0,-6481000000.0,-2790000000.0,-4143000000.0,
Gain On Sale Of Ppe,,,0.0,99000000.0,-237000000.0
Other Special Charges,633000000.0,514000000.0,995000000.0,3255000000.0,
Write Off,432000000.0,227000000.0,52000000.0,53000000.0,
Impairment Of Capital Assets,3295000000.0,3024000000.0,421000000.0,86000000.0,
Restructuring And Mergern Acquisition,1987000000.0,2716000000.0,1322000000.0,749000000.0,
Earnings From Equity Interest,102000000.0,505000000.0,436000000.0,471000000.0,
Gain On Sale Of Security,1008000000.0,1590000000.0,-1273000000.0,1344000000.0,
Net Non Operating Interest Income Expense,-2546000000.0,-585000000.0,-987000000.0,-1255000000.0,
Interest Expense Non Operating,3091000000.0,2209000000.0,1238000000.0,1291000000.0,
Interest Income Non Operating,545000000.0,1624000000.0,251000000.0,36000000.0,
Operating Income,14938000000.0,4416000000.0,38117000000.0,23704000000.0,
Operating Expense,30838000000.0,30183000000.0,28714000000.0,26763000000.0,
Depreciation Amortization Depletion Income Statement,5286000000.0,4733000000.0,3609000000.0,3700000000.0,
Depreciation And Amortization In Income Statement,5286000000.0,4733000000.0,3609000000.0,3700000000.0,
Amortization,5286000000.0,4733000000.0,3609000000.0,3700000000.0,
Amortization Of Intangibles Income Statement,5286000000.0,4733000000.0,3609000000.0,3700000000.0,
Research And Development,10822000000.0,10679000000.0,11428000000.0,10360000000.0,
Selling General And Administration,14730000000.0,14771000000.0,13677000000.0,12703000000.0,
Gross Profit,45776000000.0,34599000000.0,66831000000.0,50467000000.0,
Cost Of Revenue,17851000000.0,24954000000.0,34344000000.0,30821000000.0,
Total Revenue,63627000000.0,59553000000.0,101175000000.0,81288000000.0,
Operating Revenue,63627000000.0,59553000000.0,101175000000.0,81288000000.0,
