,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30
Tax Effect Of Unusual Items,-636930000.0,3750000.0,-417690000.0,-33884000.0,-627297166.384112,,
Tax Rate For Calcs,0.21,0.05,0.21,0.086,0.192541,,
Normalized EBITDA,5553000000.0,7178000000.0,4395000000.0,6341000000.0,1487000000.0,,
Total Unusual Items,-3033000000.0,75000000.0,-1989000000.0,-394000000.0,-3258000000.0,,
Total Unusual Items Excluding Goodwill,-3033000000.0,75000000.0,-1989000000.0,-394000000.0,-3258000000.0,,
Net Income From Continuing Operation Net Minority Interest,403000000.0,4473000000.0,24000000.0,3120000000.0,-3343000000.0,,
Reconciled Depreciation,1791000000.0,1755000000.0,1731000000.0,1736000000.0,1670000000.0,,
Reconciled Cost Of Revenue,5477000000.0,4820000000.0,2876000000.0,2951000000.0,7160000000.0,,
EBITDA,2520000000.0,7253000000.0,2406000000.0,5947000000.0,-1771000000.0,,
EBIT,729000000.0,5498000000.0,675000000.0,4211000000.0,-3441000000.0,,
Net Interest Income,-568000000.0,-667000000.0,-648000000.0,-661000000.0,-79000000.0,,
Interest Expense,739000000.0,783000000.0,778000000.0,790000000.0,688000000.0,,
Interest Income,171000000.0,116000000.0,130000000.0,129000000.0,609000000.0,,
Normalized Income,2799070000.0,4401750000.0,1595310000.0,3480116000.0,-712297166.384112,,
Net Income From Continuing And Discontinued Operation,410000000.0,4465000000.0,41000000.0,3115000000.0,-3369000000.0,,
Total Expenses,14577000000.0,12417000000.0,11020000000.0,10675000000.0,16220000000.0,,
Diluted Average Shares,,5705000000.0,5696000000.0,5697000000.0,5647000000.0,5646000000.0,
Basic Average Shares,,5667000000.0,5666000000.0,5657000000.0,5647000000.0,5646000000.0,
Diluted EPS,,0.78,0.01,0.55,-0.6,-0.42,
Basic EPS,,0.79,0.01,0.55,-0.6,-0.42,
Diluted NI Availto Com Stockholders,410000000.0,4465000000.0,41000000.0,3115000000.0,-3369000000.0,,
Net Income Common Stockholders,410000000.0,4465000000.0,41000000.0,3115000000.0,-3369000000.0,,
Net Income,410000000.0,4465000000.0,41000000.0,3115000000.0,-3369000000.0,,
Minority Interests,-8000000.0,-8000000.0,-7000000.0,-8000000.0,-9000000.0,,
Net Income Including Noncontrolling Interests,418000000.0,4473000000.0,48000000.0,3123000000.0,-3360000000.0,,
Net Income Discontinuous Operations,7000000.0,-8000000.0,17000000.0,-5000000.0,-26000000.0,,
Net Income Continuous Operations,411000000.0,4481000000.0,31000000.0,3128000000.0,-3335000000.0,,
Tax Provision,-421000000.0,234000000.0,-134000000.0,293000000.0,-795000000.0,,
Pretax Income,-10000000.0,4715000000.0,-103000000.0,3421000000.0,-4129000000.0,,
Other Income Expense,-2629000000.0,99000000.0,-1719000000.0,-121000000.0,-2077000000.0,,
Other Non Operating Income Expenses,404000000.0,-126000000.0,230000000.0,361000000.0,1030000000.0,,
Special Income Charges,-3912000000.0,-371000000.0,-1647000000.0,-419000000.0,-5557000000.0,,
Gain On Sale Of Ppe,,,,,,0.0,-5000000.0
Other Special Charges,216000000.0,57000000.0,153000000.0,208000000.0,230000000.0,,
Write Off,255000000.0,111000000.0,41000000.0,25000000.0,182000000.0,,
Impairment Of Capital Assets,2946000000.0,0.0,240000000.0,109000000.0,2760000000.0,,
Restructuring And Mergern Acquisition,495000000.0,203000000.0,1213000000.0,77000000.0,2383000000.0,,
Earnings From Equity Interest,0.0,150000000.0,40000000.0,-88000000.0,151000000.0,,
Gain On Sale Of Security,879000000.0,446000000.0,-342000000.0,25000000.0,2299000000.0,,
Net Non Operating Interest Income Expense,-568000000.0,-667000000.0,-648000000.0,-661000000.0,-79000000.0,,
Interest Expense Non Operating,739000000.0,783000000.0,778000000.0,790000000.0,688000000.0,,
Interest Income Non Operating,171000000.0,116000000.0,130000000.0,129000000.0,609000000.0,,
Operating Income,3187000000.0,5284000000.0,2263000000.0,4203000000.0,-1971000000.0,,
Operating Expense,8668000000.0,7154000000.0,7720000000.0,7296000000.0,8657000000.0,,
Depreciation Amortization Depletion Income Statement,1359000000.0,1312000000.0,1307000000.0,1308000000.0,1267000000.0,,
Depreciation And Amortization In Income Statement,1359000000.0,1312000000.0,1307000000.0,1308000000.0,1267000000.0,,
Amortization,1359000000.0,1312000000.0,1307000000.0,1308000000.0,1267000000.0,,
Amortization Of Intangibles Income Statement,1359000000.0,1312000000.0,1307000000.0,1308000000.0,1267000000.0,,
Research And Development,3035000000.0,2598000000.0,2696000000.0,2493000000.0,2815000000.0,,
Selling General And Administration,4274000000.0,3244000000.0,3717000000.0,3495000000.0,4575000000.0,,
Gross Profit,11855000000.0,12438000000.0,9983000000.0,11499000000.0,6686000000.0,,
Cost Of Revenue,5909000000.0,5263000000.0,3300000000.0,3379000000.0,7563000000.0,,
Total Revenue,17764000000.0,17701000000.0,13283000000.0,14878000000.0,14249000000.0,,
Operating Revenue,17764000000.0,17701000000.0,13283000000.0,14878000000.0,14249000000.0,,
