ticker,company_name,exchange,country,last_updated
BMW.XETR,Bayerische Motoren Werke AG,XETR,Germany,2025-03-21
SIE.XETR,Siemens AG,XETR,Germany,2025-03-21
SAP.XETR,SAP SE,XETR,Germany,2025-03-21
BAS.XETR,BASF SE,XETR,Germany,2025-03-21
ADS.XETR,Adidas AG,XETR,Germany,2025-03-21
AIR.XPAR,Airbus SE,XPAR,France,2025-03-21
BNP.XPAR,BNP Paribas,XPAR,France,2025-03-21
MC.XPAR,LVMH Moet Hennessy Louis Vuitton SE,XPAR,France,2025-03-21
OR.XPAR,L'Oreal SA,XPAR,France,2025-03-21
SAN.XPAR,Sanofi,XPAR,France,2025-03-21
ULVR.XLON,Unilever PLC,XLON,United Kingdom,2025-03-21
HSBA.XLON,HSBC Holdings PLC,XLON,United Kingdom,2025-03-21
BP.XLON,BP PLC,XLON,United Kingdom,2025-03-21
GSK.XLON,GSK PLC,XLON,United Kingdom,2025-03-21
AZN.XLON,AstraZeneca PLC,XLON,United Kingdom,2025-03-21
ASML.XAMS,ASML Holding NV,XAMS,Netherlands,2025-03-21
INGA.XAMS,ING Groep NV,XAMS,Netherlands,2025-03-21
AD.XAMS,Koninklijke Ahold Delhaize NV,XAMS,Netherlands,2025-03-21
PHIA.XAMS,Koninklijke Philips NV,XAMS,Netherlands,2025-03-21
UNI.XAMS,Unilever NV,XAMS,Netherlands,2025-03-21
IBE.XMAD,Iberdrola SA,XMAD,Spain,2025-03-21
SAN.XMAD,Banco Santander SA,XMAD,Spain,2025-03-21
TEF.XMAD,Telefonica SA,XMAD,Spain,2025-03-21
BBVA.XMAD,Banco Bilbao Vizcaya Argentaria SA,XMAD,Spain,2025-03-21
ITX.XMAD,Industria de Diseño Textil SA,XMAD,Spain,2025-03-21
ISP.XMIL,Intesa Sanpaolo SpA,XMIL,Italy,2025-03-21
ENI.XMIL,Eni SpA,XMIL,Italy,2025-03-21
ENEL.XMIL,Enel SpA,XMIL,Italy,2025-03-21
STLA.XMIL,Stellantis NV,XMIL,Italy,2025-03-21
UCG.XMIL,UniCredit SpA,XMIL,Italy,2025-03-21
