symbol,name,industry,sector,country,region,revenue,employees,market_cap
BP.L,BP PLC $0.25,Oil & Gas Integrated,Energy,United Kingdom,Europe,187386003456.0,100500.0,69625028608.0
HSBA.L,HSBC HOLDINGS PLC ORD $0.50 (UK,Banks - Diversified,Financial Services,United Kingdom,Europe,61253001216.0,211304.0,159833636864.0
GSK.L,GSK PLC ORD 31 1/4P,Drug Manufacturers - General,Healthcare,United Kingdom,Europe,31375998976.0,68629.0,61478256640.0
ULVR.L,UNILEVER PLC ORD 3 1/9P,Household & Personal Products,Consumer Defensive,United Kingdom,Europe,60761001984.0,115964.0,112174948352.0
RIO.L,RIO TINTO PLC ORD 10P,Other Industrial Metals & Mining,Basic Materials,United Kingdom,Europe,53658001408.0,60000.0,78216978432.0
SHEL.L,SHELL PLC ORD EUR0.07,Oil & Gas Integrated,Energy,United Kingdom,Europe,284312010752.0,,163879010304.0
BATS.L,BRITISH AMERICAN TOBACCO PLC OR,Tobacco,Consumer Defensive,United Kingdom,Europe,25866999808.0,48989.0,69520580608.0
AZN.L,ASTRAZENECA PLC ORD SHS $0.25,Drug Manufacturers - General,Healthcare,United Kingdom,Europe,54072999936.0,94300.0,181275705344.0
LLOY.L,LLOYDS BANKING GROUP PLC ORD 10,Banks - Regional,Financial Services,United Kingdom,Europe,17504999424.0,61228.0,42588155904.0
VOD.L,VODAFONE GROUP PLC ORD USD0.20 ,Telecom Services,Communication Services,United Kingdom,Europe,37010001920.0,93000.0,18945415168.0
SAP.DE,SAP SE                        I,Software - Application,Technology,Germany,Europe,34176000000.0,109121.0,290772549632.0
SIE.DE,SIEMENS AG                    N,Specialty Industrial Machinery,Industrials,Germany,Europe,76538003456.0,313000.0,180722253824.0
ALV.DE,Allianz SE                    v,Insurance - Diversified,Financial Services,Germany,Europe,107345002496.0,156626.0,136961490944.0
BAS.DE,BASF SE                       N,Chemicals,Basic Materials,Germany,Europe,65259999232.0,111822.0,46048436224.0
