symbol,name,industry,sector,country,region,revenue,employees,market_cap,currency,exchange,website,data_source,last_updated,source
SHEL.L,Shell,Unknown,Energy,United Kingdom,Europe,,,164210000000.0,Unknown,Unknown,,"Curated List, Yahoo Finance, MarketScreener",2025-03-20 23:05:18,Curated List
BP.L,BP,Unknown,Energy,United Kingdom,Europe,,,68790000000.0,Unknown,Unknown,,"Curated List, Yahoo Finance, MarketScreener",2025-03-20 23:05:18,Curated List
HSBA.L,HSBC Holdings,Unknown,Financial Services,United Kingdom,Europe,,,159050000000.0,Unknown,Unknown,,"Curated List, Yahoo Finance, MarketScreener",2025-03-20 23:05:18,Curated List
ULVR.L,Unilever,Unknown,Consumer Goods,United Kingdom,Europe,,,111660000000.0,Unknown,Unknown,,"Curated List, Yahoo Finance, MarketScreener",2025-03-20 23:05:18,Curated List
AZN.L,AstraZeneca,Unknown,Healthcare,United Kingdom,Europe,,,182670000000.0,Unknown,Unknown,,"Curated List, Yahoo Finance, MarketScreener",2025-03-20 23:05:18,Curated List
DGE.L,Diageo,Unknown,Consumer Goods,United Kingdom,Europe,,,45230000000.0,Unknown,Unknown,,"Curated List, Yahoo Finance, MarketScreener",2025-03-20 23:05:18,Curated List
RIO.L,Rio Tinto,Unknown,Basic Materials,United Kingdom,Europe,,,79740000000.0,Unknown,Unknown,,"Curated List, Yahoo Finance, MarketScreener",2025-03-20 23:05:18,Curated List
GSK.L,GSK,Unknown,Healthcare,United Kingdom,Europe,,,61250000000.0,Unknown,Unknown,,"Curated List, Yahoo Finance, MarketScreener",2025-03-20 23:05:18,Curated List
VOD.L,Vodafone Group,Unknown,Telecommunications,United Kingdom,Europe,,,18690000000.0,Unknown,Unknown,,"Curated List, Yahoo Finance, MarketScreener",2025-03-20 23:05:51,Curated List
NWG.L,NatWest Group,Unknown,Financial Services,United Kingdom,Europe,,,37590000000.0,Unknown,Unknown,,"Curated List, Yahoo Finance, MarketScreener",2025-03-20 23:05:55,Curated List
BATS.L,British American Tobacco,Technology,Consumer Goods,United Kingdom,Europe,,,69660000000.0,Unknown,Unknown,,"Curated List, Yahoo Finance, MarketScreener, Inferred",2025-03-20 23:05:54,Curated List
BARC.L,Barclays,Unknown,Financial Services,United Kingdom,Europe,,,43700000000.0,Unknown,Unknown,,"Curated List, Yahoo Finance, MarketScreener",2025-03-20 23:05:52,Curated List
PRU.L,Prudential,Unknown,Financial Services,United Kingdom,Europe,,,20250000000.0,Unknown,Unknown,,"Curated List, Yahoo Finance, MarketScreener",2025-03-20 23:05:55,Curated List
LLOY.L,Lloyds Banking Group,Financial Services,Financial Services,United Kingdom,Europe,,,42630000000.0,Unknown,Unknown,,"Curated List, Yahoo Finance, MarketScreener, Inferred",2025-03-20 23:05:50,Curated List
SAP.DE,SAP,Unknown,Technology,Germany,Europe,,,289720000000.0,Unknown,Unknown,,"Curated List, Yahoo Finance, MarketScreener",2025-03-20 23:05:59,Curated List
REL.L,RELX,Unknown,Media,United Kingdom,Europe,,,70140000000.0,Unknown,Unknown,,"Curated List, Yahoo Finance, MarketScreener",2025-03-20 23:05:54,Curated List
SIE.DE,Siemens,Unknown,Industrials,Germany,Europe,,,185390000000.0,Unknown,Unknown,,"Curated List, Yahoo Finance, MarketScreener",2025-03-20 23:06:23,Curated List
DTE.DE,Deutsche Telekom,Unknown,Telecommunications,Germany,Europe,,,164410000000.0,Unknown,Unknown,,"Curated List, Yahoo Finance, MarketScreener",2025-03-20 23:06:26,Curated List
ALV.DE,Allianz,Unknown,Financial Services,Germany,Europe,,,137190000000.0,Unknown,Unknown,,"Curated List, Yahoo Finance, MarketScreener",2025-03-20 23:06:26,Curated List
BAYN.DE,Bayer,Unknown,Healthcare,Germany,Europe,,,23960000000.0,Unknown,Unknown,,"Curated List, Yahoo Finance, MarketScreener",2025-03-20 23:06:30,Curated List
BMW.DE,BMW,Unknown,Consumer Cyclical,Germany,Europe,,,51230000000.0,Unknown,Unknown,,"Curated List, Yahoo Finance, MarketScreener",2025-03-20 23:06:33,Curated List
DB1.DE,Deutsche Börse,Unknown,Financial Services,Germany,Europe,,,49950000000.0,Unknown,Unknown,,"Curated List, Yahoo Finance, MarketScreener",2025-03-20 23:06:37,Curated List
MUV2.DE,Munich Re,Unknown,Financial Services,Germany,Europe,,,77550000000.0,Unknown,Unknown,,"Curated List, Yahoo Finance, MarketScreener",2025-03-20 23:06:40,Curated List
BAS.DE,BASF,Unknown,Basic Materials,Germany,Europe,,,46570000000.0,Unknown,Unknown,,"Curated List, Yahoo Finance, MarketScreener",2025-03-20 23:06:36,Curated List
