symbol,name,sector,industry,country,region,market_cap,revenue,employees,profit_margin,operating_margin,trailing_pe,data_source
AZN,Astrazeneca PLC,Healthcare,Drug Manufacturers - General,United Kingdom,Europe,237457620992.0,54072999936.0,94300.0,0.1301,0.22718,34.00889,"investpy, Yahoo Finance"
AZN,Astrazeneca PLC,Healthcare,Drug Manufacturers - General,United Kingdom,Europe,237457620992.0,54072999936.0,94300.0,0.1301,0.22718,34.00889,"investpy, Yahoo Finance"
INTC,Intel Corporation,Technology,Semiconductors,Belgium,Europe,103746789376.0,53100998656.0,108900.0,-0.35321,-0.18548,,"investpy, Yahoo Finance"
PH,Parker-Hannifin Corporation,Industrials,Specialty Industrial Machinery,Germany,Europe,80442064896.0,19907747840.0,61120.0,0.15866,0.20608,25.772276,"investpy, Yahoo Finance"
CRH,CRH PLC,Basic Materials,Building Materials,Ireland,Europe,66120249344.0,35571998720.0,79800.0,0.098170005,0.13878,19.440239,"investpy, Yahoo Finance"
CRH,CRH PLC,Basic Materials,Building Materials,Ireland,Europe,66120249344.0,35571998720.0,79800.0,0.098170005,0.13878,19.440239,"investpy, Yahoo Finance"
TRV,"The Travelers Companies, Inc.",Financial Services,Insurance - Property & Casualty,Austria,Europe,58844729344.0,46422999040.0,34000.0,0.10767999,0.22418,12.09413,"investpy, Yahoo Finance"
GIS,"General Mills, Inc.",Consumer Defensive,Packaged Foods,Switzerland,Europe,31930615808.0,19644299264.0,34000.0,0.13024999,0.16707,12.815384,"investpy, Yahoo Finance"
EBAY,eBay Inc.,Consumer Cyclical,Internet Retail,Austria,Europe,30914439168.0,10282999808.0,11500.0,0.19206,0.18573,16.794935,"investpy, Yahoo Finance"
SW,Smurfit WestRock plc,Consumer Cyclical,Packaging & Containers,Ireland,Europe,23859521536.0,21109000192.0,100000.0,0.01511,0.029979998,55.7439,"investpy, Yahoo Finance"
LNT,Alliant Energy Corporation,Utilities,Utilities - Regulated Electric,Germany,Europe,16312776704.0,3980999936.0,2998.0,0.17332001,-0.3125,23.624535,"investpy, Yahoo Finance"
ALK,"Alaska Air Group, Inc.",Industrials,Airlines,Germany,Europe,6504672256.0,11735000064.0,30207.0,0.03366,0.04527,17.15909,"investpy, Yahoo Finance"
TNET,"TriNet Group, Inc.",Industrials,Staffing & Employment Services,Belgium,Europe,3905746688.0,4989000192.0,364300.0,0.034679998,-0.010299999,22.991253,"investpy, Yahoo Finance"
HIW,"Highwoods Properties, Inc.",Real Estate,REIT - Office,Germany,Europe,3172497408.0,830019968.0,350.0,0.12319,0.25464,30.74468,"investpy, Yahoo Finance"
BLKB,"Blackbaud, Inc.",Technology,Software - Application,Switzerland,Europe,3147689472.0,1155495040.0,2600.0,-0.24507,0.20823999,,"investpy, Yahoo Finance"
SPT,"Sprout Social, Inc",Technology,Software - Application,United Kingdom,Europe,1449165824.0,405908000.0,1322.0,-0.15267,-0.09951,,"investpy, Yahoo Finance"
ECPG,Encore Capital Group Inc,Financial Services,Credit Services,Germany,Europe,817586752.0,1316360960.0,7350.0,-0.10578,-0.056649998,,"investpy, Yahoo Finance"
ITRN,Ituran Location and Control Ltd,Technology,Scientific & Technical Instruments,Germany,Europe,734471680.0,336256992.0,2800.0,0.15956001,0.2176,13.674073,"investpy, Yahoo Finance"
SLN,Silence Therapeutics Plc - Amer,Healthcare,Biotechnology,United Kingdom,Europe,208260800.0,43258000.0,116.0,-1.04741,0.26517,,"investpy, Yahoo Finance"
