symbol,name,sector,industry,country,revenue,net_income,gross_profit,operating_income,ebitda,total_assets,total_liabilities,total_equity,current_assets,current_liabilities,cash,pe_ratio,market_cap,employees,profit_margin,operating_margin,data_source,last_updated,current_ratio
UCG.MI,UniCredit,Financial Services,Technology,Germany,,,,,,,,,,,,,85590000000.0,,40.51,74.93,"Yahoo Finance, MarketScreener",2025-03-20 23:12:00,
FME.DE,Fresenius Medical Care,Healthcare,Healthcare,Germany,,,,,,,,,,,,,13290000000.0,,2.78,8.03,"Yahoo Finance, MarketScreener",2025-03-20 23:12:00,1.4
SHL.DE,Siemens Healthineers,Healthcare,Healthcare,Germany,,,,,,,,,,,,,59100000000.0,,8.76,12.71,"Yahoo Finance, MarketScreener",2025-03-20 23:11:59,1.28
BATS.L,British American Tobacco,Consumer Goods,Technology,United Kingdom,,,,,,,,,,,,,69660000000.0,,11.86,40.91,"Yahoo Finance, MarketScreener",2025-03-20 23:12:02,0.76
LLOY.L,Lloyds Banking Group,Financial Services,Financial Services,United Kingdom,,,,,,,,,,,,,42630000000.0,,25.26,25.21,"Yahoo Finance, MarketScreener",2025-03-20 23:12:02,
ACA.PA,Crédit Agricole,Financial Services,Technology,France,,,,,,,,,,,,,51370000000.0,,27.98,40.2,"Yahoo Finance, MarketScreener",2025-03-20 23:12:01,
ITX.MC,Inditex,Consumer Cyclical,Technology,Spain,,,,,,,,,,,,,144420000000.0,,15.18,16.41,"Yahoo Finance, MarketScreener",2025-03-20 23:12:02,1.61
DBK.DE,Deutsche Bank,Financial Services,Financial Services,United Kingdom,,,,,,,,,,,,,44160000000.0,,14.63,51.12,"Yahoo Finance, MarketScreener",2025-03-20 23:12:02,
SHEL.L,Shell,Energy,,United Kingdom,,,,,,,,,,,,,164210000000.0,,5.66,9.93,"Yahoo Finance, MarketScreener",2025-03-20 23:12:31,1.35
ZURN.SW,Zurich Insurance,Financial Services,Financial Services,Switzerland,,,,,,,,,,,,,86770000000.0,,8.46,11.63,"Yahoo Finance, MarketScreener",2025-03-20 23:12:29,5.86
DGE.L,Diageo,Consumer Goods,,United Kingdom,,,,,,,,,,,,,45230000000.0,,17.79,29.1,"Yahoo Finance, MarketScreener",2025-03-20 23:12:36,1.6
ULVR.L,Unilever,Consumer Goods,,United Kingdom,,,,,,,,,,,,,111660000000.0,,9.45,17.28,"Yahoo Finance, MarketScreener",2025-03-20 23:12:34,0.76
BP.L,BP,Energy,,United Kingdom,,,,,,,,,,,,,68790000000.0,,0.2,-5.09,"Yahoo Finance, MarketScreener",2025-03-20 23:12:34,1.25
HSBA.L,HSBC Holdings,Financial Services,,United Kingdom,,,,,,,,,,,,,159050000000.0,,39.15,29.03,"Yahoo Finance, MarketScreener",2025-03-20 23:12:36,
RIO.L,Rio Tinto,Basic Materials,,United Kingdom,,,,,,,,,,,,,79740000000.0,,21.53,23.35,"Yahoo Finance, MarketScreener",2025-03-20 23:12:37,1.63
AZN.L,AstraZeneca,Healthcare,,United Kingdom,,,,,,,,,,,,,182670000000.0,,13.01,22.72,"Yahoo Finance, MarketScreener",2025-03-20 23:12:35,0.93
GSK.L,GSK,Healthcare,,United Kingdom,,,,,,,,,,,,,61250000000.0,,8.21,12.28,"Yahoo Finance, MarketScreener",2025-03-20 23:13:01,0.78
PRU.L,Prudential,Financial Services,,United Kingdom,,,,,,,,,,,,,20250000000.0,,18.93,38.12,"Yahoo Finance, MarketScreener",2025-03-20 23:13:06,1.59
VOD.L,Vodafone Group,Telecommunications,,United Kingdom,,,,,,,,,,,,,18690000000.0,,6.89,13.25,"Yahoo Finance, MarketScreener",2025-03-20 23:13:03,1.37
NWG.L,NatWest Group,Financial Services,,United Kingdom,,,,,,,,,,,,,37590000000.0,,33.48,43.76,"Yahoo Finance, MarketScreener",2025-03-20 23:13:07,
BARC.L,Barclays,Financial Services,,United Kingdom,,,,,,,,,,,,,43700000000.0,,26.01,25.59,"Yahoo Finance, MarketScreener",2025-03-20 23:13:08,
SAP.DE,SAP,Technology,,Germany,,,,,,,,,,,,,289720000000.0,,9.14,25.79,"Yahoo Finance, MarketScreener",2025-03-20 23:13:08,1.12
REL.L,RELX,Media,,United Kingdom,,,,,,,,,,,,,70140000000.0,,20.5,29.46,"Yahoo Finance, MarketScreener",2025-03-20 23:13:10,0.52
SIE.DE,Siemens,Industrials,,Germany,,,,,,,,,,,,,185390000000.0,,12.56,11.25,"Yahoo Finance, MarketScreener",2025-03-20 23:13:11,1.54
DTE.DE,Deutsche Telekom,Telecommunications,,Germany,,,,,,,,,,,,,164410000000.0,,9.47,17.55,"Yahoo Finance, MarketScreener",2025-03-20 23:13:35,1.06
ALV.DE,Allianz,Financial Services,,Germany,,,,,,,,,,,,,137190000000.0,,9.34,12.56,"Yahoo Finance, MarketScreener",2025-03-20 23:13:35,3.78
BAYN.DE,Bayer,Healthcare,,Germany,,,,,,,,,,,,,23960000000.0,,-5.48,48.2,"Yahoo Finance, MarketScreener",2025-03-20 23:13:39,1.19
BMW.DE,BMW,Consumer Cyclical,,Germany,,,,,,,,,,,,,51230000000.0,,5.12,4.79,"Yahoo Finance, MarketScreener",2025-03-20 23:13:39,1.1
MUV2.DE,Munich Re,Financial Services,,Germany,,,,,,,,,,,,,77550000000.0,,9.26,6.9,"Yahoo Finance, MarketScreener",2025-03-20 23:13:40,0.26
VOW3.DE,Volkswagen,Consumer Cyclical,,Germany,,,,,,,,,,,,,54340000000.0,,3.5,8.79,"Yahoo Finance, MarketScreener",2025-03-20 23:14:09,1.13
HEI.DE,HeidelbergCement,Basic Materials,,Germany,,,,,,,,,,,,,32540000000.0,,8.4,16.55,"Yahoo Finance, MarketScreener",2025-03-20 23:14:10,1.27
ADS.DE,Adidas,Consumer Cyclical,,Germany,,,,,,,,,,,,,40410000000.0,,3.23,0.72,"Yahoo Finance, MarketScreener",2025-03-20 23:14:09,1.24
RWE.DE,RWE,Utilities,,United Kingdom,,,,,,,,,,,,,24580000000.0,,11.93,33.36,"Yahoo Finance, MarketScreener",2025-03-20 23:14:13,1.54
OR.PA,L'Oréal,Consumer Defensive,,France,,,,,,,,,,,,,193340000000.0,,14.74,17.09,"Yahoo Finance, MarketScreener",2025-03-20 23:14:16,1.13
DB1.DE,Deutsche Börse,Financial Services,,Germany,,,,,,,,,,,,,49950000000.0,,27.75,38.75,"Yahoo Finance, MarketScreener",2025-03-20 23:14:40,
MC.PA,LVMH,Consumer Cyclical,,France,,,,,,,,,,,,,304720000000.0,,14.82,20.74,"Yahoo Finance, MarketScreener",2025-03-20 23:14:41,1.41
AIR.PA,Airbus,Industrials,,France,,,,,,,,,,,,,134979999999.99998,,6.11,9.96,"Yahoo Finance, MarketScreener",2025-03-20 23:14:44,1.14
