symbol,name,sector,industry,market_cap,pe_ratio,forward_pe,price_to_book,dividend_yield,eps_ttm,eps_forward,profit_margin,roa,roe,revenue_ttm,revenue_per_share,price_to_sales,ebitda,debt_to_equity,current_ratio,beta,peg_ratio,data_retrieval_date,currency,country,exchange,data_source,ticker_used
BATS,British American Tobacco,N/A,N/A,,,,,,,,,,,,,,,,,,,2025-03-21,N/A,United Kingdom,Unknown,investpy,BATS
IHG,InterContinental,Consumer Cyclical,Lodging,17581234176.0,29.267532,21.061682,-7.678888,149.0,3.85,5.35,12.755999000000001,13.61,,4922999808.0,5.10018,3.5712442,1072000000.0,,0.969,0.926,,2025-03-21,USD,United Kingdom,Unknown,investpy,IHG
BP,BP,Energy,Oil & Gas Integrated,90010148864.0,248.21428,9.217506,9.301392,553.0,0.14,3.77,0.20299999000000002,2.321,1.5010000000000001,187386003456.0,17.154,0.48034617,26961000448.0,91.354,1.25,0.464,,2025-03-21,USD,United Kingdom,Unknown,investpy,BP
NXT,Next,Technology,Solar,6634334208.0,11.1037035,13.304733,4.593932,,4.05,3.38,20.118,17.701,53.539,2771369984.0,19.544,2.3938825,728697984.0,10.199,2.205,2.246,,2025-03-21,USD,United Kingdom,Unknown,investpy,NXT
EZJ,EasyJet,N/A,N/A,,15.136739,,,202.99999999999997,,,,,,,,,,,,,,2025-03-21,USD,United Kingdom,Unknown,investpy,EZJ
MKS,Marks & Spencer,N/A,N/A,,,,,,,,,,,,,,,,,,,2025-03-21,N/A,United Kingdom,Unknown,investpy,MKS
GNS,Genus,Consumer Defensive,Education & Training Services,22886400.0,0.2352941,-2.0,0.071958624,,1.36,-0.16,-25.606,-16.659,-13.786000000000001,16147349.0,1.723,1.4173472,-18407570.0,10.195,2.52,10.623,,2025-03-21,USD,United Kingdom,Unknown,investpy,GNS
OMU,Old Mutual,N/A,N/A,,,,,,,,,,,,,,,,,,,2025-03-21,N/A,United Kingdom,Unknown,investpy,OMU
RBS,RBS PLC,N/A,N/A,,,,,,,,,,,,,,,,,,,2025-03-21,N/A,United Kingdom,Unknown,investpy,RBS
PRU,Prudential,Financial Services,Insurance - Life,39216119808.0,14.770666,7.5411844,1.4092534,487.0,7.5,14.69,3.873,0.27499999999999997,9.486,70404997120.0,196.937,0.5570076,3592999936.0,127.448,1.146,1.259,,2025-03-21,USD,United Kingdom,Unknown,investpy,PRU
