symbol,name,country,exchange,currency,data_source
BATS,British American Tobacco,United Kingdom,Unknown,GBP,investpy
HSBA,HSBC,United Kingdom,Unknown,GBP,investpy
BARC,Barclays,United Kingdom,Unknown,GBP,investpy
IHG,InterContinental,United Kingdom,Unknown,GBP,investpy
BP,BP,United Kingdom,Unknown,GBP,investpy
NXT,Next,United Kingdom,Unknown,GBP,investpy
LLOY,Lloyds Banking,United Kingdom,Unknown,GBP,investpy
EZJ,EasyJet,United Kingdom,Unknown,GBP,investpy
MKS,Marks & Spencer,United Kingdom,Unknown,GBP,investpy
BIRG,Bank Ireland,United Kingdom,Unknown,EUR,investpy
GNS,Genus,United Kingdom,Unknown,GBP,investpy
OMU,Old Mutual,United Kingdom,Unknown,GBP,investpy
RBS,RBS PLC,United Kingdom,Unknown,GBP,investpy
PRU,Prudential,United Kingdom,Unknown,GBP,investpy
PFD,Premier Foods,United Kingdom,Unknown,GBP,investpy
VOD,Vodafone Group PLC,United Kingdom,Unknown,GBP,investpy
BNKR,Bankers,United Kingdom,Unknown,GBP,investpy
GNK,Greene King,United Kingdom,Unknown,GBP,investpy
BWNG,N Brown Group,United Kingdom,Unknown,GBP,investpy
MGNS,Morgan Sindall,United Kingdom,Unknown,GBP,investpy
PFC,Petrofac,United Kingdom,Unknown,GBP,investpy
FERG,Ferguson,United Kingdom,Unknown,GBP,investpy
HOCM,Hochschild,United Kingdom,Unknown,GBP,investpy
AZN,AstraZeneca,United Kingdom,Unknown,GBP,investpy
JKX,JKX Oil,United Kingdom,Unknown,GBP,investpy
BWY,Bellway,United Kingdom,Unknown,GBP,investpy
LGEN,Legal & General,United Kingdom,Unknown,GBP,investpy
IMB,Imperial Brands,United Kingdom,Unknown,GBP,investpy
RB,Reckitt Benckiser,United Kingdom,Unknown,GBP,investpy
KGF,Kingfisher,United Kingdom,Unknown,GBP,investpy
REL,Relx,United Kingdom,Unknown,GBP,investpy
MRW,Morrison Supermarkets,United Kingdom,Unknown,GBP,investpy
CNA,Centrica,United Kingdom,Unknown,GBP,investpy
III,3I Group,United Kingdom,Unknown,GBP,investpy
